LMP error($/MWh),Method,Bus Number,,,,,,,,,,,
-0.387251132,Method in [22],17,,,,,,,,,,,
-0.167199834,Method in [22],17,,,,,,,,,,,
0.045161717,Method in [22],17,,,,,,,,,,,
0.021914383,Method in [22],17,,,,,,,,,,,
0.139667522,Method in [22],17,,,,,,,,,,,
0.159581663,Method in [22],17,,,,,,,,,,,
-0.052796883,Method in [22],17,,,,,,,,,,,
-0.091250423,Method in [22],17,,,,,,,,,,,
0.148175278,Method in [22],17,,,,,,,,,,,
0.212407475,Method in [22],17,,,,,,,,,,,
-0.102334697,Method in [22],17,,,,,,,,,,,
-0.083287127,Method in [22],17,,,,,,,,,,,
-0.319812989,Method in [22],18,,,,,,,,,,,
-0.324714957,Method in [22],18,,,,,,,,,,,
-0.161428096,Method in [22],18,,,,,,,,,,,
-0.465233349,Method in [22],18,,,,,,,,,,,
-0.462400576,Method in [22],18,,,,,,,,,,,
-0.53428048,Method in [22],18,,,,,,,,,,,
-0.653097071,Method in [22],18,,,,,,,,,,,
-0.741797031,Method in [22],18,,,,,,,,,,,
-0.371414125,Method in [22],18,,,,,,,,,,,
-0.414142193,Method in [22],18,,,,,,,,,,,
-0.361789418,Method in [22],18,,,,,,,,,,,
-0.376888286,Method in [22],18,,,,,,,,,,,
-0.422062563,Method in [22],18,,,,,,,,,,,
-0.202349543,Method in [22],18,,,,,,,,,,,
0.034108335,Method in [22],18,,,,,,,,,,,
-0.002832567,Method in [22],18,,,,,,,,,,,
0.100964106,Method in [22],18,,,,,,,,,,,
0.187296046,Method in [22],18,,,,,,,,,,,
-0.078838653,Method in [22],18,,,,,,,,,,,
-0.115363664,Method in [22],18,,,,,,,,,,,
0.163165383,Method in [22],18,,,,,,,,,,,
0.213768913,Method in [22],18,,,,,,,,,,,
-0.124240693,Method in [22],18,,,,,,,,,,,
-0.106034071,Method in [22],18,,,,,,,,,,,
-0.131340224,Method in [22],19,,,,,,,,,,,
-0.133585838,Method in [22],19,,,,,,,,,,,
-0.030238173,Method in [22],19,,,,,,,,,,,
-0.20570389,Method in [22],19,,,,,,,,,,,
-0.213444606,Method in [22],19,,,,,,,,,,,
-0.243397128,Method in [22],19,,,,,,,,,,,
-0.385526333,Method in [22],19,,,,,,,,,,,
-0.431861369,Method in [22],19,,,,,,,,,,,
-0.160606137,Method in [22],19,,,,,,,,,,,
-0.183961531,Method in [22],19,,,,,,,,,,,
-0.157566494,Method in [22],19,,,,,,,,,,,
-0.162394774,Method in [22],19,,,,,,,,,,,
-0.222474348,Method in [22],19,,,,,,,,,,,
-0.045889832,Method in [22],19,,,,,,,,,,,
0.074638551,Method in [22],19,,,,,,,,,,,
0.078676975,Method in [22],19,,,,,,,,,,,
0.069484313,Method in [22],19,,,,,,,,,,,
0.105205064,Method in [22],19,,,,,,,,,,,
0.131815305,Method in [22],19,,,,,,,,,,,
0.070120881,Method in [22],19,,,,,,,,,,,
0.108445848,Method in [22],19,,,,,,,,,,,
0.13614964,Method in [22],19,,,,,,,,,,,
0.041389396,Method in [22],19,,,,,,,,,,,
-0.00125853,Method in [22],19,,,,,,,,,,,
-0.154866568,Method in [22],20,,,,,,,,,,,
-0.156656014,Method in [22],20,,,,,,,,,,,
-0.077220265,Method in [22],20,,,,,,,,,,,
-0.234265938,Method in [22],20,,,,,,,,,,,
-0.239867149,Method in [22],20,,,,,,,,,,,
-0.271563716,Method in [22],20,,,,,,,,,,,
-0.40383018,Method in [22],20,,,,,,,,,,,
-0.458490351,Method in [22],20,,,,,,,,,,,
-0.178577728,Method in [22],20,,,,,,,,,,,
-0.201173524,Method in [22],20,,,,,,,,,,,
-0.179183626,Method in [22],20,,,,,,,,,,,
-0.171055644,Method in [22],20,,,,,,,,,,,
-0.226482588,Method in [22],20,,,,,,,,,,,
-0.08591015,Method in [22],20,,,,,,,,,,,
0.028468399,Method in [22],20,,,,,,,,,,,
0.029362491,Method in [22],20,,,,,,,,,,,
0.026519668,Method in [22],20,,,,,,,,,,,
0.064499764,Method in [22],20,,,,,,,,,,,
0.065098998,Method in [22],20,,,,,,,,,,,
0.110309197,Method in [22],20,,,,,,,,,,,
0.06917656,Method in [22],20,,,,,,,,,,,
0.103070785,Method in [22],20,,,,,,,,,,,
0.075258704,Method in [22],20,,,,,,,,,,,
-0.04747277,Method in [22],20,,,,,,,,,,,
-0.342561422,Method in [22],21,,,,,,,,,,,
-0.347769479,Method in [22],21,,,,,,,,,,,
-0.177439179,Method in [22],21,,,,,,,,,,,
-0.496067841,Method in [22],21,,,,,,,,,,,
-0.492060361,Method in [22],21,,,,,,,,,,,
-0.568712175,Method in [22],21,,,,,,,,,,,
-0.684366532,Method in [22],21,,,,,,,,,,,
-0.778089718,Method in [22],21,,,,,,,,,,,
-0.396764093,Method in [22],21,,,,,,,,,,,
-0.4417173,Method in [22],21,,,,,,,,,,,
-0.387320707,Method in [22],21,,,,,,,,,,,
-0.401804925,Method in [22],21,,,,,,,,,,,
-0.445186496,Method in [22],21,,,,,,,,,,,
-0.226001795,Method in [22],21,,,,,,,,,,,
0.028485863,Method in [22],21,,,,,,,,,,,
-0.020767897,Method in [22],21,,,,,,,,,,,
0.068235534,Method in [22],21,,,,,,,,,,,
0.142064682,Method in [22],21,,,,,,,,,,,
-0.097369397,Method in [22],21,,,,,,,,,,,
-0.132640154,Method in [22],21,,,,,,,,,,,
0.178732201,Method in [22],21,,,,,,,,,,,
0.21460668,Method in [22],21,,,,,,,,,,,
-0.140163745,Method in [22],21,,,,,,,,,,,
-0.119009755,Method in [22],21,,,,,,,,,,,
-0.5646306,Method in [22],22,,,,,,,,,,,
-0.570875098,Method in [22],22,,,,,,,,,,,
-0.396924312,Method in [22],22,,,,,,,,,,,
-0.770547255,Method in [22],22,,,,,,,,,,,
